🇨🇳｜央视频道,#genre#


CCTV1,http://159.75.85.63:5681/sxg.php?id=CCTV-1H265_4000
CCTV2,http://159.75.85.63:5681/sxg.php?id=CCTV-2H265_4000
CCTV3,http://159.75.85.63:5681/sxg.php?id=CCTV-3H265_4000
CCTV4,http://159.75.85.63:5681/sxg.php?id=CCTV-4H265_4000
CCTV5,http://159.75.85.63:5681/sxg.php?id=CCTV-5H265_4000
CCTV5+,http://159.75.85.63:5681/sxg.php?id=CCTV-5plusH265_4000
CCTV6,http://159.75.85.63:5681/sxg.php?id=CCTV-6H265_4000
CCTV7,http://159.75.85.63:5681/sxg.php?id=CCTV-7H265_4000
CCTV8,http://159.75.85.63:5681/sxg.php?id=CCTV-8H265_4000
CCTV9,http://159.75.85.63:5681/sxg.php?id=CCTV-9H265_4000
CCTV10,http://159.75.85.63:5681/sxg.php?id=CCTV-10H265_4000
CCTV11,http://159.75.85.63:5681/sxg.php?id=CCTV-11-H265_4000
CCTV12,http://159.75.85.63:5681/sxg.php?id=CCTV-12H265_4000
CCTV13,http://159.75.85.63:5681/sxg.php?id=CCTV-xw_4000
CCTV14,http://159.75.85.63:5681/sxg.php?id=CCTV-14H265_4000
CCTV15,http://159.75.85.63:5681/sxg.php?id=CCTV-15-yyH265_4000
CCTV17,http://159.75.85.63:5681/sxg.php?id=CCTV-17_4000





CCTV1,https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv1_2/index.m3u8
CCTV2,http://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv2_2/index.m3u8
CCTV5,https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv5_2/index.m3u8
CCTV13,https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv13_2/index.m3u8

CCTV1,http://1.189.99.196/hlsmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/600/index.m3u8?&encrypt=
CCTV2,http://1.189.99.196/hlsmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/600/index.m3u8?&encrypt=
CCTV3,http://1.189.99.196/hlsmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/1000/index.m3u8?&encrypt=
CCTV4,http://1.189.99.196/hlsmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/600/index.m3u8?&encrypt=
CCTV5,http://1.189.99.196/hlsmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/600/index.m3u8?&encrypt=
CCTV5+,http://1.189.99.196/hlsmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdplusnew/600/index.m3u8?&encrypt=
CCTV6,http://1.189.99.196/hlsmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv6hd/1000/index.m3u8?&encrypt=
CCTV7,http://1.189.99.196/hlsmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/50/index.m3u8?&encrypt=
CCTV8,http://1.189.99.196/hlsmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv8hd/1000/index.m3u8?&encrypt=
CCTV9,http://1.189.99.196/hlsmgsplive.miguvideo.com/migu/kailu/20200324/cctv9hd/50/index.m3u8?&encrypt=
